                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2684,                 1.7749,                 1.4885,                0.39399,                0.36693,                0.31738,                0.19607,                 1.3971,                 2.0047,                 1.5382,             0.00054921,             0.00054921,             0.00054921
                      1,                 1.2507,                 1.7696,                  1.516,                0.35039,                0.33847,                0.26752,                0.17309,                 1.4448,                 2.0551,                 1.5755,             0.00074026,             0.00074026,             0.00074026
                      2,                 1.2525,                   1.75,                 1.4815,                0.40332,                0.34265,                0.29824,                0.18489,                 1.4142,                 1.9756,                 1.5345,             0.00056458,             0.00056458,             0.00056458
