                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.033,                 3.0053,                 2.3067,                0.25525,                  0.138,                0.09426,                0.05269,                 1.9566,                 3.0396,                 2.2222,             0.00054921,             0.00054921,             0.00054921
                      1,                  1.998,                 2.9658,                 2.2984,                0.20482,                 0.1392,                0.08266,                0.04623,                 1.9852,                 3.0479,                 2.2349,              0.0010775,              0.0010775,              0.0010775
                      2,                 1.9751,                  2.936,                 2.2273,                0.18026,                0.13151,                0.07568,                0.03938,                 2.0264,                 3.3159,                 2.2571,              0.0015783,              0.0015783,              0.0015783
                      3,                  1.969,                 2.9076,                 2.1787,                 0.2807,                0.15468,                0.09959,                0.05843,                 1.9481,                 2.9923,                 2.1459,              0.0015432,              0.0015432,              0.0015432
                      4,                 1.9127,                 2.8771,                 2.1548,                0.23731,                0.18991,                0.11548,                0.06829,                  1.831,                 3.2013,                 2.0271,              0.0015432,              0.0015432,              0.0015432
                      5,                 1.8405,                 2.7397,                 2.0497,                0.20378,                0.22743,                 0.1153,                 0.0703,                 1.7833,                 2.9666,                 1.9729,               0.001502,               0.001502,               0.001502
                      6,                 1.7966,                 2.6697,                 2.0189,                0.27233,                0.18146,                 0.1276,                0.07803,                 1.7635,                 2.7395,                 1.9501,              0.0014607,              0.0014607,              0.0014607
                      7,                 1.7481,                 2.5987,                 1.9713,                0.27912,                0.19462,                0.13733,                 0.0772,                 1.7144,                 3.1715,                 1.8609,              0.0014195,              0.0014195,              0.0014195
                      8,                 1.7004,                 2.5731,                 1.9224,                0.28451,                0.25425,                0.16991,                0.10244,                  1.669,                 2.5678,                 1.8422,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.6742,                 2.5394,                 1.8958,                0.28308,                0.24172,                0.16463,                0.09454,                 1.6853,                 2.4918,                 1.8319,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.6724,                 2.4912,                 1.8585,                0.26847,                0.25921,                 0.1638,                0.10049,                 1.6254,                 2.4782,                 1.7807,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.5799,                 2.3941,                   1.81,                0.26383,                0.26409,                0.17298,                0.10104,                 1.6473,                 2.5582,                  1.789,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.5868,                 2.3764,                 1.7817,                0.27925,                 0.2541,                0.19178,                 0.1166,                 1.6335,                 2.4338,                 1.7757,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.5817,                 2.3548,                 1.7909,                 0.2888,                0.29423,                 0.1977,                0.12056,                 1.5707,                 2.4987,                 1.7317,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.5175,                 2.3455,                 1.7423,                0.31811,                0.27624,                0.19753,                0.11524,                 1.6118,                  2.373,                 1.7346,              0.0011306,              0.0011306,              0.0011306
                     15,                 1.5412,                 2.2949,                 1.7602,                0.29261,                0.28617,                0.21356,                0.11828,                 1.6019,                 2.3956,                 1.7087,              0.0010894,              0.0010894,              0.0010894
                     16,                 1.5332,                 2.2647,                 1.7265,                0.31467,                0.31516,                0.22486,                0.14124,                 1.5605,                 2.2626,                 1.6834,              0.0010481,              0.0010481,              0.0010481
