                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6292,                 4.3603,                 4.1825,                0.00145,                0.12151,                0.00109,                0.00038,                  3.656,                  4.427,                 4.0927,             0.00054921,             0.00054921,             0.00054921
                      1,                 3.2604,                 4.1053,                  3.729,                0.01473,                0.02106,                0.00397,                0.00128,                 3.0757,                 4.7904,                 4.3033,               0.001083,               0.001083,               0.001083
                      2,                 2.9668,                  3.896,                 3.3337,                0.14566,                0.02714,                0.01537,                0.00523,                 2.7849,                 4.4456,                 3.1965,              0.0015948,              0.0015948,              0.0015948
