                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4825,                 2.2042,                 1.6776,                0.34822,                0.29914,                0.25463,                0.15391,                 1.5381,                 2.2443,                 1.6866,             0.00054921,             0.00054921,             0.00054921
                      1,                 1.4637,                 2.1882,                 1.7098,                0.31324,                 0.2879,                0.21434,                0.13554,                 1.5503,                 2.2941,                 1.6879,              0.0010684,              0.0010684,              0.0010684
                      2,                 1.5022,                 2.2284,                 1.6983,                0.32543,                0.26582,                0.22205,                 0.1344,                 1.6114,                  2.363,                 1.7195,              0.0015509,              0.0015509,              0.0015509
                      3,                 1.5291,                 2.2644,                 1.7072,                0.33248,                0.29435,                0.22941,                0.13785,                 1.5972,                 2.3707,                 1.7313,               0.001502,               0.001502,               0.001502
                      4,                 1.4971,                 2.2578,                 1.7069,                0.32399,                0.30128,                0.22724,                0.13436,                 1.5659,                 2.5932,                 1.7091,               0.001502,               0.001502,               0.001502
                      5,                 1.4964,                 2.1835,                 1.6785,                0.31833,                0.30453,                0.24182,                0.15022,                 1.5494,                 2.3133,                  1.688,               0.001447,               0.001447,               0.001447
                      6,                 1.4724,                 2.1984,                 1.6679,                0.33968,                0.29388,                0.25256,                0.16413,                 1.5258,                 2.2039,                 1.6377,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.4762,                 2.1679,                 1.6705,                0.35169,                0.30208,                0.24182,                0.14113,                 1.5337,                 2.3011,                 1.6417,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.4291,                 2.1062,                 1.6283,                0.37419,                 0.3292,                0.27426,                  0.165,                 1.5037,                 2.2263,                 1.6418,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.4459,                 2.1426,                 1.6548,                0.30347,                0.35641,                0.24777,                0.15177,                 1.4834,                 2.1612,                 1.6283,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.4418,                  2.093,                 1.6288,                0.32133,                0.29818,                0.22448,                0.14341,                 1.4925,                 2.1972,                 1.6073,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.3602,                 2.0107,                 1.5958,                0.36816,                0.32456,                0.27871,                0.17456,                 1.5399,                 2.1374,                 1.6582,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.3935,                  2.004,                 1.5884,                0.39436,                0.31701,                0.28215,                0.17369,                 1.5017,                 2.0795,                 1.6181,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.3757,                 1.9788,                 1.5867,                0.39694,                 0.3433,                0.28392,                0.18269,                 1.4379,                 2.2754,                 1.5828,              0.0010069,              0.0010069,              0.0010069
                     14,                   1.34,                 2.0128,                 1.5638,                0.35096,                0.33986,                0.27734,                0.17547,                 1.4415,                 2.0694,                 1.5773,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.3571,                 1.9479,                  1.583,                0.37089,                0.35549,                0.29733,                0.18332,                 1.4569,                 2.1684,                 1.5753,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.3517,                 1.9275,                 1.5602,                0.41555,                0.34383,                0.32148,                0.20612,                 1.4249,                 1.9693,                 1.5553,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.3535,                 1.9333,                 1.5577,                0.39929,                0.35543,                0.30656,                0.18988,                 1.4427,                 1.9638,                 1.5695,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.3034,                 1.9034,                 1.5469,                0.36737,                 0.3341,                0.28903,                0.18603,                 1.4066,                 1.9684,                 1.5505,             0.00073181,             0.00073181,             0.00073181
                     19,                  1.337,                 1.8671,                 1.5335,                0.38093,                 0.3423,                0.27836,                0.17887,                 1.3939,                 1.9999,                 1.5382,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.3048,                 1.8944,                 1.5415,                0.41386,                0.34843,                 0.3141,                0.19736,                  1.389,                 1.9306,                 1.5222,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.3031,                   1.89,                 1.5481,                0.40263,                0.31259,                0.30492,                0.18989,                 1.4065,                 1.9758,                 1.5416,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.3129,                 1.8914,                 1.5566,                0.39082,                0.34367,                 0.3037,                0.19576,                 1.4013,                 1.9379,                 1.5343,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.2618,                  1.769,                 1.5092,                0.44221,                0.33665,                0.31784,                0.20079,                   1.42,                 1.9335,                 1.5376,             0.00045676,             0.00045676,             0.00045676
                     24,                 1.2867,                 1.8361,                 1.5255,                0.42135,                0.36808,                0.32033,                0.19999,                 1.3954,                 1.8958,                 1.5241,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.2948,                  1.824,                 1.5314,                 0.3915,                0.35275,                0.31327,                0.20113,                 1.3724,                 1.9098,                 1.5148,             0.00034674,             0.00034674,             0.00034674
