                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 3.2134,                 3.9455,                 3.5016,                 0.0015,                0.21429,                 0.0026,                0.00088,                 2.7582,                 5.2073,                 3.3842,               0.000614,               0.000614,               0.000614
                     37,                 3.0222,                 3.8536,                 3.4874,                 0.0015,                0.21429,                0.00283,                 0.0009,                 2.7658,                 5.1938,                 3.3601,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.9979,                 3.9493,                 3.4231,                0.00133,                0.19048,                0.00294,                0.00096,                 2.7821,                 5.1146,                 3.3801,              0.0005348,              0.0005348,              0.0005348
                     39,                 3.0481,                  3.931,                 3.2425,                 0.0015,                0.21429,                0.00462,                0.00154,                 2.7573,                 5.0828,                 3.3968,              0.0004952,              0.0004952,              0.0004952
                     40,                 3.0707,                 3.8698,                 3.2629,                 0.0015,                0.21429,                0.00575,                0.00179,                 2.7006,                 5.0601,                 3.3697,              0.0004556,              0.0004556,              0.0004556
                     41,                 3.0868,                 3.7606,                 3.4392,                 0.0105,                0.16667,                0.00652,                0.00213,                 2.6479,                 4.9198,                  3.378,               0.000416,               0.000416,               0.000416
                     42,                 2.8034,                 3.7158,                 3.3889,                0.02712,                0.14286,                0.00852,                0.00278,                 2.6085,                 4.7706,                 3.3716,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.9324,                 3.8917,                 3.4708,                0.03885,                0.02381,                0.01141,                 0.0032,                 2.6077,                  4.769,                 3.3395,              0.0003368,              0.0003368,              0.0003368
                     44,                 3.0878,                 3.5843,                 3.2364,                0.25583,                0.02381,                0.01703,                 0.0045,                 2.6235,                 4.8321,                 3.3136,              0.0002972,              0.0002972,              0.0002972
                     45,                 3.0156,                 3.7973,                 3.1972,                0.43934,                0.02381,                0.02915,                0.00683,                 2.6716,                 4.8019,                 3.3115,              0.0002576,              0.0002576,              0.0002576
                     46,                  2.976,                 3.6574,                 3.4515,                0.23768,                0.02381,                0.01646,                0.00498,                 2.6969,                 4.7845,                 3.3016,               0.000218,               0.000218,               0.000218
                     47,                 3.0581,                  3.776,                 3.3685,                0.13231,                0.02381,                 0.0072,                0.00258,                 2.7735,                 4.8176,                 3.2822,              0.0001784,              0.0001784,              0.0001784
                     48,                 3.1181,                 3.8859,                 3.3437,                0.16268,                0.02381,                0.01022,                0.00289,                 2.7827,                 4.9129,                 3.2887,              0.0001388,              0.0001388,              0.0001388
                     49,                 3.0287,                  3.564,                 3.3712,                0.16129,                0.02381,                0.00788,                0.00252,                 2.7877,                 5.0649,                 3.2863,               9.92e-05,               9.92e-05,               9.92e-05
