                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7357,                 5.2406,                 4.3968,                0.00033,                0.04762,                0.00027,                  6e-05,                  3.618,                 5.9113,                 4.1592,                  8e-05,                  8e-05,                  8e-05
                      1,                 3.7382,                 4.7802,                 4.3788,                 0.0005,                0.07143,                0.00046,                0.00011,                 3.6182,                 5.9124,                 4.1587,             0.00017644,             0.00017644,             0.00017644
                      2,                 3.5484,                 4.9211,                 4.2713,                 0.0005,                0.07143,                0.00051,                  8e-05,                 3.6185,                 5.9158,                  4.157,             0.00026891,             0.00026891,             0.00026891
                      3,                 3.5095,                 4.7933,                 4.2409,                 0.0005,                0.07143,                0.00043,                  8e-05,                  3.619,                 5.9158,                 4.1549,             0.00035743,             0.00035743,             0.00035743
                      4,                 3.5971,                 4.8547,                 4.2111,                 0.0005,                0.07143,                0.00038,                  7e-05,                 3.6205,                 5.9065,                 4.1503,             0.00044198,             0.00044198,             0.00044198
                      5,                 3.6628,                 4.9665,                 4.1834,                 0.0005,                0.07143,                0.00036,                  7e-05,                 3.6189,                 5.8794,                 4.1456,             0.00052258,             0.00052258,             0.00052258
                      6,                 3.5823,                 4.7743,                 4.1567,                 0.0005,                0.07143,                0.00037,                  7e-05,                 3.6105,                 5.8107,                  4.135,             0.00059922,             0.00059922,             0.00059922
                      7,                 3.4595,                 4.7072,                 4.1325,                 0.0005,                0.07143,                0.00037,                  7e-05,                 3.6009,                 5.7517,                 4.1266,             0.00067189,             0.00067189,             0.00067189
                      8,                 3.5069,                 4.7359,                 4.1662,                 0.0005,                0.07143,                0.00035,                  6e-05,                  3.587,                 5.5929,                 4.1147,             0.00074061,             0.00074061,             0.00074061
                      9,                  3.589,                 4.5578,                 4.1058,                 0.0005,                0.07143,                0.00035,                  6e-05,                 3.5833,                 5.5343,                 4.1048,             0.00080536,             0.00080536,             0.00080536
                     10,                 3.6544,                  4.344,                 4.0555,                 0.0005,                0.07143,                0.00033,                  7e-05,                 3.5941,                 5.5247,                  4.098,             0.00086616,             0.00086616,             0.00086616
                     11,                 3.4115,                 4.1123,                 4.0558,                 0.0005,                0.07143,                0.00035,                  7e-05,                 3.6186,                 5.3992,                 4.1098,               0.000923,               0.000923,               0.000923
                     12,                  3.341,                  4.251,                 3.9979,                 0.0005,                0.07143,                0.00037,                  7e-05,                 3.6162,                 5.3054,                 4.1094,             0.00097587,             0.00097587,             0.00097587
                     13,                 3.6092,                 4.5818,                 4.0096,                 0.0005,                0.07143,                0.00036,                  8e-05,                 3.5774,                 5.1149,                 4.0869,              0.0010248,              0.0010248,              0.0010248
                     14,                 3.5502,                 4.5311,                 3.9543,                 0.0005,                0.07143,                0.00037,                  9e-05,                 3.5073,                 4.9204,                 4.0365,              0.0010697,              0.0010697,              0.0010697
                     15,                 3.3502,                 4.2026,                 3.9407,                0.00033,                0.04762,                0.00032,                  7e-05,                  3.474,                 4.8782,                 4.0089,              0.0011107,              0.0011107,              0.0011107
                     16,                 3.1689,                 4.1366,                 3.8413,                 0.0005,                0.07143,                0.00041,                 0.0001,                 3.4445,                 4.9672,                 3.9559,              0.0011478,              0.0011478,              0.0011478
                     17,                 3.3485,                 4.2173,                 3.8158,                 0.0005,                0.07143,                 0.0013,                0.00031,                 3.4585,                 5.3273,                 3.9382,              0.0011809,              0.0011809,              0.0011809
                     18,                 3.3669,                 4.2077,                 3.7635,                0.00067,                0.09524,                0.00163,                0.00034,                 3.4762,                 5.5429,                 3.9314,                0.00121,                0.00121,                0.00121
                     19,                 3.3743,                 4.0947,                 3.8179,                0.00083,                0.11905,                0.00078,                0.00027,                 3.3106,                 5.0481,                 3.8845,              0.0012351,              0.0012351,              0.0012351
                     20,                 3.3991,                 4.2153,                 3.8048,                  0.001,                0.14286,                0.00098,                0.00018,                 3.4701,                 5.0606,                 3.9252,               0.001208,               0.001208,               0.001208
                     21,                 3.1386,                 3.9824,                 3.7747,                0.00067,                0.09524,                0.00047,                0.00013,                 3.4015,                 5.8866,                 3.9751,               0.001208,               0.001208,               0.001208
                     22,                 3.2668,                 3.9126,                 3.7072,                0.00067,                0.09524,                0.00047,                0.00011,                  3.263,                 10.881,                 4.2465,              0.0011684,              0.0011684,              0.0011684
                     23,                 3.2432,                 3.9117,                 3.6846,                0.00083,                0.11905,                0.00058,                0.00023,                 3.0327,                 9.0606,                 4.3424,              0.0011288,              0.0011288,              0.0011288
                     24,                 3.3073,                 4.3958,                 3.7584,                0.05279,                0.02381,                0.00213,                0.00068,                 3.0116,                 5.8642,                 4.3113,              0.0010892,              0.0010892,              0.0010892
                     25,                 3.1478,                 3.8612,                 3.7008,                0.05973,                0.04762,                0.00578,                0.00122,                 2.9781,                 5.6664,                 3.9533,              0.0010496,              0.0010496,              0.0010496
                     26,                 3.0892,                 3.9612,                 3.6774,                0.04526,                0.04762,                0.00424,                0.00155,                 2.8798,                 6.0441,                 3.7736,                0.00101,                0.00101,                0.00101
                     27,                 3.1211,                 4.2851,                 3.6988,                 0.0151,                0.02381,                0.00207,                0.00027,                 3.3744,                 7.0543,                 4.0995,              0.0009704,              0.0009704,              0.0009704
                     28,                 3.2095,                 4.0608,                 3.6711,                0.00083,                0.11905,                0.00214,                0.00036,                 3.2782,                 5.3849,                 3.8316,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.9943,                 4.0462,                 3.5469,                  0.001,                0.14286,                0.00117,                0.00029,                 3.1224,                 5.0938,                 3.6977,              0.0008912,              0.0008912,              0.0008912
                     30,                 3.2561,                      4,                 3.6327,                0.00133,                0.19048,                0.00099,                0.00021,                 3.0571,                   5.16,                 3.6505,              0.0008516,              0.0008516,              0.0008516
                     31,                 3.1595,                 3.9927,                 3.4234,                0.00133,                0.19048,                0.00116,                0.00028,                 3.0297,                 5.4672,                 3.6143,               0.000812,               0.000812,               0.000812
                     32,                 3.1165,                 4.1514,                 3.6169,                0.00117,                0.16667,                0.00108,                0.00035,                 2.9508,                 5.5327,                  3.587,              0.0007724,              0.0007724,              0.0007724
                     33,                 3.1248,                 3.8886,                  3.579,                0.00117,                0.16667,                0.00113,                0.00043,                 2.9042,                 5.4872,                 3.5334,              0.0007328,              0.0007328,              0.0007328
                     34,                 3.0696,                 4.2331,                 3.3986,                 0.0015,                0.21429,                0.00178,                0.00054,                 2.8484,                 5.5319,                 3.4669,              0.0006932,              0.0006932,              0.0006932
                     35,                 3.0777,                 3.9578,                 3.5699,                 0.0015,                0.21429,                0.00245,                0.00085,                 2.7997,                 5.4611,                 3.4202,              0.0006536,              0.0006536,              0.0006536
